InstanceID	Endpoint Predictions	Best Endpoint Predictions	True Endpoint
1160	0	0	0
1161	1	1	0
1162	0	0	0
1163	0	0	0
1164	1	0	0
1165	0	0	0
1166	1	1	0
1167	0	0	0
1168	0	0	0
1169	1	0	0
1170	1	1	0
1171	0	1	0
1172	1	0	0
1173	1	1	0
1174	1	1	0
1175	1	0	0
1176	0	0	0
1177	1	1	0
1178	1	1	0
1179	1	0	0
1180	0	0	0
1181	0	1	0
1182	1	0	0
1183	0	0	0
1184	0	1	0
1185	1	0	0
1186	0	1	0
1187	0	0	0
1188	1	1	0
1189	1	0	0
1190	0	0	0
1191	0	1	0
1192	0	0	0
1193	0	0	0
1194	0	0	0
1195	0	0	0
1196	0	0	0
1197	1	1	0
1198	0	0	0
1199	1	1	0
1200	0	0	0
1201	1	1	0
1202	1	0	0
1203	0	1	0
1204	0	0	0
1205	0	1	0
1206	0	0	0
1207	0	1	0
1208	1	0	0
1209	0	0	0
1210	0	0	0
1211	0	0	0
1212	0	0	0
1213	0	0	0
1214	0	0	0
1215	1	1	0
1216	0	0	0
1217	1	0	0
1218	1	0	0
1219	1	1	0
1220	1	1	0
1221	1	0	0
1222	1	0	0
1223	1	1	0
1224	0	0	0
1225	1	1	0
1226	0	0	0
1227	0	0	0
1228	0	0	0
1229	0	1	0
1230	1	1	0
1231	0	1	0
1232	1	0	0
1233	1	1	0
1234	1	1	0
1235	0	0	0
1236	1	0	0
1237	1	1	0
1238	0	0	0
1239	0	0	0
1240	0	0	0
1241	1	1	0
1242	0	0	0
1243	0	0	0
1244	1	1	0
1245	0	0	0
1246	1	0	0
1247	0	0	0
1248	0	0	0
1249	0	0	0
1250	1	1	0
1251	0	0	0
1252	0	0	0
1253	0	0	0
1254	1	0	0
1255	1	1	0
1256	0	1	0
1257	0	0	0
1258	0	0	0
1259	0	0	0
1260	1	1	0
1261	1	0	0
1262	0	1	0
1263	1	0	0
1264	1	0	0
1265	0	1	0
1266	0	0	0
1267	1	0	0
1268	1	0	0
1269	0	0	0
1270	0	1	0
1271	0	1	0
1272	1	1	0
1273	1	1	0
1274	1	0	0
1275	0	0	0
1276	1	1	0
1277	0	0	0
1278	0	0	0
1279	0	0	0
1280	0	0	0
1281	0	0	0
1282	1	0	0
1283	0	0	0
1284	0	0	0
1285	0	0	0
1286	1	0	0
1287	0	1	0
1288	0	0	0
1289	0	1	0
1290	0	0	0
1291	1	1	0
1292	1	1	0
1293	1	0	0
1294	0	1	0
1295	0	0	0
1296	1	0	0
1297	0	0	0
1298	0	1	0
1299	0	0	0
1300	0	0	0
1301	0	0	0
1302	1	0	0
1303	0	1	0
1304	0	0	0
1305	0	0	0
1306	0	0	0
1307	0	0	0
1308	1	1	0
1309	0	0	0
1310	1	1	0
1311	1	1	0
1312	1	1	0
1313	0	0	0
1314	1	0	0
1315	1	1	0
1316	0	0	0
1317	1	1	0
1318	0	0	0
1319	0	0	0
1320	0	0	0
1321	1	1	0
1322	0	0	0
1323	0	0	0
1324	0	1	0
1325	0	0	0
1326	0	0	0
1327	0	0	0
1328	0	1	0
1329	0	0	0
1330	0	0	0
1331	0	0	0
1332	1	1	0
1333	1	1	0
1334	0	0	0
1335	0	0	0
1336	0	0	0
1337	0	0	0
1338	1	1	0
1339	0	0	0
1340	0	0	0
1341	1	1	0
1342	1	1	0
1343	1	1	0
1344	1	0	0
1345	1	0	0
1346	1	1	0
1347	1	1	0
1348	0	0	0
1349	1	0	0
1350	0	0	0
1351	0	1	0
1352	0	0	0
1353	1	1	0
1354	1	0	0
1355	0	1	0
1356	0	0	0
1357	0	1	0
1358	1	1	0
1359	1	1	0
1360	0	0	0
1361	0	0	0
1362	1	0	0
1363	1	1	0
1364	0	0	0
1365	1	1	0
1366	1	0	0
1367	1	1	0
1368	1	1	0
1369	1	1	0
1370	0	0	0
1371	0	1	0
1372	1	1	0
1373	0	0	0
1374	0	0	0
1375	0	1	0
1376	1	0	0
1377	0	1	0
1378	1	0	0
1379	1	0	0
1380	1	1	0
1381	0	0	0
1382	1	1	0
1383	1	1	0
1384	0	0	0
1385	0	0	0
1386	0	1	0
1387	0	1	0
1388	1	1	0
1389	0	0	0
1390	1	0	0
1391	1	0	0
1392	1	0	0
1393	1	1	0
1394	0	0	0
1395	0	0	0
1396	1	0	0
1397	0	1	0
1398	0	0	0
1399	1	1	0
1400	1	1	0
1401	0	0	0
1402	1	1	0
1403	1	1	0
1404	0	0	0
1405	0	0	0
1406	1	1	0
1407	0	0	0
1408	0	0	0
1409	1	0	0
1410	1	1	0
1411	1	1	0
1412	1	1	0
1413	1	1	0
1414	0	1	0
1415	0	0	0
1416	1	0	0
1417	1	1	0
1418	0	0	0
1419	0	0	0
1420	0	1	0
1421	0	0	0
1422	1	1	0
1423	0	0	0
1424	1	1	0
1425	0	0	0
1426	0	0	0
1427	0	0	0
1428	0	0	0
1429	0	0	0
1430	0	1	0
1431	1	0	0
1432	0	0	0
1433	1	1	0
1434	1	0	0
1435	0	0	0
1436	0	0	0
1437	0	1	0
1438	0	0	0
1439	0	0	0
1440	0	0	0
1441	1	1	0
1442	0	0	0
1443	0	0	0
1444	1	1	0
1445	1	0	0
1446	1	0	0
1447	0	0	0
1448	0	0	0
1449	0	1	0
1450	0	1	0
1451	0	0	0
1452	1	1	0
1453	0	0	0
1454	0	1	0
1455	0	0	0
1456	0	0	0
1457	0	1	0
1458	0	0	0
1459	0	0	0
1460	0	0	0
1461	1	1	0
1462	1	0	0
1463	1	0	0
1464	0	0	0
1465	0	0	0
1466	0	1	0
1467	0	0	0
1468	0	0	0
1469	0	1	0
1470	0	1	0
1471	1	1	0
1472	0	0	0
1473	0	0	0
1474	0	0	0
1475	1	1	0
1476	0	0	0
1477	1	1	0
1478	1	1	0
1479	0	0	0
1480	1	0	0
1481	0	0	0
1482	1	0	0
1483	0	0	0
1484	0	0	0
1485	1	0	0
1486	0	1	0
1487	0	1	0
1488	0	0	0
1489	1	1	0
1490	0	0	0
1491	0	0	0
1492	0	0	0
1493	0	0	0
1494	1	1	0
1495	1	1	0
1496	1	1	0
1497	1	1	0
1498	1	0	0
1499	0	0	0
1500	1	1	0
1501	0	0	0
1502	1	1	0
1503	0	0	0
1504	0	0	0
1505	1	0	0
1506	0	0	0
1507	0	0	0
1508	0	0	0
1509	0	0	0
1510	0	0	0
1511	0	0	0
1512	1	1	0
1513	1	0	0
1514	0	0	0
1515	0	0	0
1516	0	0	0
1517	0	0	0
1518	0	0	0
1519	0	0	0
1520	1	1	0
1521	0	0	0
1522	1	0	0
1523	0	0	0
1524	1	0	0
1525	1	1	0
1526	1	0	0
1527	0	0	0
1528	0	0	0
1529	1	1	0
1530	0	0	0
1531	0	0	0
1532	1	1	0
1533	1	0	0
1534	0	1	0
1535	0	0	0
1536	1	0	0
1537	1	1	0
1538	0	0	0
1539	0	0	0
1540	1	0	0
1541	1	1	0
1542	0	0	0
1543	0	0	0
1544	1	0	0
1545	1	0	0
1546	0	0	0
1547	1	0	0
1548	0	1	0
1549	1	0	0
1550	1	0	0
1551	1	1	0
1552	1	1	0
1553	0	0	0
1554	0	1	0
1555	0	0	0
1556	0	1	0
1557	1	0	0
1558	1	0	0
1559	0	0	0
1560	0	0	0
1561	0	0	0
1562	0	0	0
1563	0	0	0
1564	0	0	0
1565	0	0	0
1566	0	1	0
1567	0	1	0
1568	1	1	0
1569	0	0	0
1570	1	0	0
1571	0	0	0
1572	1	1	0
1573	1	1	0
1574	0	0	0
1575	0	0	0
1576	0	0	0
1577	0	1	0
1578	0	0	0
1579	1	1	0
1580	0	0	0
1581	0	1	0
1582	0	0	0
1583	1	1	0
1584	1	1	0
1585	0	0	0
1586	1	1	0
1587	1	1	0
1588	1	1	0
1589	0	0	0
1590	0	0	0
1591	1	0	0
1592	1	1	0
1593	1	0	0
1594	0	0	0
1595	1	0	0
1596	1	1	0
1597	0	0	0
1598	1	0	0
1599	0	0	0
